# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 19214
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 19214
DATA ascii
-0.0230308 -0.05210897 -0.02957519
-0.05384937 -0.02842101 -0.00269251
-0.0140097 0.04687849 -0.03333089
0.03613475 0.05514112 -0.00788602
-0.03518861 0.007134372 -0.0200897
-0.002211265 0.02222043 -0.04416287
-0.007091916 -0.02299603 -0.03737066
0.0374747 -0.0210373 -0.01793748
0.002387125 0.02973644 -0.04227651
0.001801101 0.004766182 -0.05918259
0.05475501 -0.04161358 -0.002199929
-0.05386412 -0.04820361 -0.00695567
0.005517235 -0.02240678 -0.04150349
0.006684292 0.03086425 -0.03853978
-0.01788619 0.07553022 -0.01892409
-0.05497527 -0.05293916 -0.004075723
0.01785935 0.01050464 -0.03415232
-0.03782437 -0.03552312 -0.01775056
0.02749263 0.02041613 -0.02949985
0.03464643 0.01440482 -0.02150023
0.0412563 -0.06837352 -0.01559329
-0.03358915 -0.05852796 -0.0268899
-0.05170011 -0.002399854 -0.006523619
0.0111026 0.0665042 -0.02808471
0.035192 0.01148884 -0.02060416
-0.01095666 -0.009802382 -0.03794666
-0.01211707 0.02061106 -0.04028535
0.04804856 -0.06387649 -0.009256959
-0.0533743 -0.05018605 -0.007981341
-0.01956109 0.07591865 -0.01525638
0.04985633 0.006281076 -0.005538384
0.03584912 -0.0535122 -0.02535086
-0.007355741 -0.02719169 -0.03224631
0.01152838 0.07060257 -0.0261559
0.03790011 -0.02252899 -0.01415362
-0.01598933 -0.001449992 -0.03143282
0.02833003 0.03762512 -0.02488826
-0.01792222 0.0762159 -0.01659352
0.04400971 -0.04646553 -0.01861484
8.123222e-05 -0.03841773 -0.03550821
-0.0479201 -0.07616652 -0.007009689
-0.0007740124 0.03038437 -0.03411269
-0.01966069 0.06480667 -0.0265371
-0.02196989 0.02840855 -0.03208574
-0.01842736 0.03048905 -0.03041374
-0.04242913 -0.05797859 -0.0205326
-0.007003106 -0.0239997 -0.03672485
0.04887331 -0.009783952 -0.009879032
0.01995079 0.02902768 -0.02490362
0.02225673 0.003950992 -0.02840318
